Timestamp;FIT101;LIT101;MV101;P101;P102;AIT201;AIT202;AIT203;FIT201;MV201;P201;P202;P203;P204;P205;P206;DPIT301;FIT301;LIT301;MV301;MV302;MV303;MV304;P301;P302;AIT401;AIT402;FIT401;LIT401;P401;P402;P403;P404;UV401;AIT501;AIT502;AIT503;AIT504;FIT501;FIT502;FIT503;FIT504;P501;P502;PIT501;PIT502;PIT503;FIT601;P601;P602;P603;Normal/Attack
22/12/20154:00:00PM;2,470294;261,5804;2;2;1;244,3284;8,19008;306,101;2,471278;2;1;1;2;1;2;1;20,79839;2,235275;327,4401;1;2;1;1;2;1;0;171,0587;0;238,0544;1;1;1;1;1;7,308575;176,8265;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:01PM;2,457163;261,1879;2;2;1;244,3284;8,19008;306,101;2,468587;2;1;1;2;1;2;1;20,79839;2,234507;327,4401;1;2;1;1;2;1;0;171,0587;0;238,1312;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:02PM;2,439548;260,9131;2;2;1;244,3284;8,19008;306,101;2,467305;2;1;1;2;1;2;1;20,8432;2,233354;327,4401;1;2;1;1;2;1;0;171,0587;0;238,0544;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:03PM;2,428338;260,285;2;2;1;244,3284;8,19008;306,101;2,466536;2;1;1;2;1;2;1;20,8432;2,233354;327,2799;1;2;1;1;2;1;0;171,0587;0;238,2081;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:04PM;2,424815;259,8925;2;2;1;244,4245;8,19008;306,101;2,466536;2;1;1;2;1;2;1;20,8432;2,233354;327,1597;1;2;1;1;2;1;0;171,0587;0;238,4389;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:05PM;2,425456;260,0495;2;2;1;244,5847;8,19008;306,101;2,465127;2;1;1;2;1;2;1;20,8432;2,235147;326,9194;1;2;1;1;2;1;0;171,0587;0;238,6311;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:06PM;2,472857;260,2065;2;2;1;244,5847;8,19008;306,101;2,464742;2;1;1;2;1;2;1;20,8432;2,235147;326,7592;1;2;1;1;2;1;0;171,0587;0;238,5158;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:07PM;2,513532;260,5991;2;2;1;244,5847;8,19008;306,101;2,468331;2;1;1;2;1;2;1;20,8368;2,235147;327,0396;1;2;1;1;2;1;0;171,0587;0;238,2081;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:08PM;2,559972;261,0309;2;2;1;244,5847;8,19008;306,101;2,469612;2;1;1;2;1;2;1;20,824;2,233994;327,0796;1;2;1;1;2;1;0;171,0587;0;237,8621;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:09PM;2,598085;261,1093;2;2;1;244,809;8,19008;306,101;2,470894;2;1;1;2;1;2;1;20,80799;2,233994;326,9594;1;2;1;1;2;1;0;171,0587;0;238,0928;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:10PM;2,630753;261,7766;2;2;1;244,809;8,19008;306,101;2,470894;2;1;1;2;1;2;1;20,80799;2,233738;326,3586;1;2;1;1;2;1;0;171,0587;0;238,2081;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:11PM;2,649329;261,7766;2;2;1;244,809;8,19008;306,101;2,472175;2;1;1;2;1;2;1;20,80799;2,233738;326,1584;1;2;1;1;2;1;0;171,0587;0;238,9003;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:12PM;2,654133;261,8944;2;2;1;244,8731;8,19008;306,101;2,474097;2;1;1;2;1;2;1;20,80799;2,233738;326,3586;1;2;1;1;2;1;0;171,0587;0;239,6693;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:13PM;2,646446;261,6589;2;2;1;244,8731;8,19008;306,101;2,474097;2;1;1;2;1;2;1;20,80799;2,235147;326,4388;1;2;1;1;2;1;0;171,0587;0;240,0154;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:14PM;2,625949;261,2664;2;2;1;245,0333;8,19008;305,8703;2,474097;2;1;1;2;1;2;1;20,90403;2,235147;327,0396;1;2;1;1;2;1;0;171,0587;0;239,8231;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:15PM;2,61602;260,8346;2;2;1;245,0333;8,19008;305,8703;2,474097;2;1;1;2;1;2;1;20,92003;2,235147;327,1197;1;2;1;1;2;1;0;171,0587;0;240,0154;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:16PM;2,609935;261,0309;2;2;1;245,0333;8,19008;305,8703;2,474097;2;1;1;2;1;2;1;20,92003;2,235147;327,3199;1;2;1;1;2;1;0;171,0587;0;240,746;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:17PM;2,602889;261,1093;2;2;1;245,0333;8,19008;305,8703;2,474097;2;1;1;2;1;2;1;20,86241;2,235147;327,8807;1;2;1;1;2;1;0;171,0587;0;241,7073;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:18PM;2,587516;260,9916;2;2;1;245,0333;8,19008;305,8703;2,474097;2;1;1;2;1;2;1;20,8272;2,235147;328,121;1;2;1;1;2;1;0;171,2125;0;242,284;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:19PM;2,573103;261,3056;2;2;1;245,0333;8,19008;305,8703;2,473457;2;1;1;2;1;2;1;20,8208;2,235147;328,4815;1;2;1;1;2;1;0;171,2125;0;242,3225;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:20PM;2,556769;261,6589;2;2;1;245,4499;8,19008;305,8703;2,471663;2;1;1;2;1;2;1;20,8208;2,235147;328,4815;1;2;1;1;2;1;0;171,2125;0;242,8993;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:21PM;2,543958;261,9729;2;2;1;245,4499;8,19008;305,8703;2,471663;2;1;1;2;1;2;1;20,85281;2,235147;328,2411;1;2;1;1;2;1;0;171,2125;0;243,2453;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:22PM;2,519617;262,0514;2;2;1;245,4499;8,19008;305,8703;2,472559;2;1;1;2;1;2;1;20,85601;2,235147;328,4414;1;2;1;1;2;1;0;171,2125;0;243,8605;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:23PM;2,502002;262,3654;2;2;1;245,4499;8,1904;305,8703;2,474482;2;1;1;2;1;2;1;20,85601;2,235147;328,9221;1;2;1;1;2;1;0;171,2125;0;244,3989;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:24PM;2,486308;262,4832;2;2;1;245,4499;8,193604;305,8703;2,474482;2;1;1;2;1;2;1;20,79839;2,235147;328,842;1;2;1;1;2;1;0;171,2125;0;244,7449;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:25PM;2,470294;262,2084;2;2;1;245,4499;8,193604;305,8703;2,474482;2;1;1;2;1;2;1;20,77278;2,235147;328,9621;1;2;1;1;2;1;0;171,2125;0;244,7449;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:26PM;2,452359;262,0121;2;2;1;245,4499;8,193604;305,6396;2,473457;2;1;1;2;1;2;1;20,69275;2,235147;329,2425;1;2;1;1;2;1;0;171,0587;0;244,9756;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:27PM;2,440188;261,8552;2;2;1;245,4499;8,193604;305,6396;2,472944;2;1;1;2;1;2;1;20,65113;2,235147;329,3226;1;2;1;1;2;1;0;171,0587;0;245,2064;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:28PM;2,427377;261,6196;2;2;1;245,4499;8,193604;305,6396;2,472559;2;1;1;2;1;2;1;20,63832;2,235147;329,4828;1;2;1;1;2;1;0;171,0587;0;245,8216;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,12561;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:29PM;2,425456;261,7766;2;2;1;245,4499;8,193604;305,6396;2,472303;2;1;1;2;1;2;1;20,63832;2,235916;329,0823;1;2;1;1;2;1;0;171,0587;0;245,9369;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,12561;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:30PM;2,425456;261,5019;2;2;1;245,4499;8,193604;305,6396;2,470509;2;1;1;2;1;2;1;20,73436;2,236044;328,9621;1;2;1;1;2;1;0;171,0587;0;245,9754;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,12561;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:31PM;2,457803;261,6196;2;2;1;245,7062;8,193604;305,6396;2,470381;2;1;1;2;1;2;1;20,75037;2,235019;328,7218;1;2;1;1;2;1;0;171,0587;0;246,3215;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,12561;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:32PM;2,506485;261,7766;2;2;1;245,7062;8,193604;305,6909;2,471278;2;1;1;2;1;2;1;20,75037;2,234635;328,7619;1;2;1;1;2;1;0;171,0587;0;246,7829;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,10959;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:33PM;2,541716;262,2477;2;2;1;245,7062;8,193604;305,8447;2,471278;2;1;1;2;1;2;1;20,75037;2,233738;328,6818;1;2;1;1;2;1;0;171,0587;0;247,1674;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:34PM;2,58079;262,4439;2;2;1;245,7062;8,193604;305,8447;2,471278;2;1;1;2;1;2;1;20,75037;2,233097;328,842;1;2;1;1;2;1;0;171,0587;0;247,475;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:35PM;2,622746;262,758;2;2;1;245,7062;8,193604;305,8447;2,47115;2;1;1;2;1;2;1;20,70875;2,232072;328,7619;1;2;1;1;2;1;0;171,0587;0;247,7826;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:36PM;2,643244;262,601;2;2;1;245,7062;8,193604;305,7421;2,469356;2;1;1;2;1;2;1;20,67994;2,231816;328,4815;1;2;1;1;2;1;0;171,0587;0;248,3209;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:37PM;2,660539;262,7972;2;2;1;245,7062;8,193604;305,7421;2,469356;2;1;1;2;1;2;1;20,67994;2,231816;329,0422;1;2;1;1;2;1;0;171,0587;0;248,8208;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:38PM;2,66182;263,072;2;2;1;245,7062;8,193604;305,7421;2,46974;2;1;1;2;1;2;1;20,71515;2,231816;329,2425;1;2;1;1;2;1;0;171,0587;0;249,3976;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:39PM;2,630753;263,1897;2;2;1;245,7062;8,193604;305,7421;2,470894;2;1;1;2;1;2;1;20,75677;2,231816;329,5229;1;2;1;1;2;1;0;171,0587;0;250,2051;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:40PM;2,619223;262,9542;2;2;1;245,8985;8,193604;305,7421;2,470894;2;1;1;2;1;2;1;20,76317;2,231816;329,4428;1;2;1;1;2;1;0;171,0587;0;250,8587;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:41PM;2,617942;262,9935;2;2;1;245,8985;8,196168;305,7421;2,470894;2;1;1;2;1;2;1;20,76317;2,231816;329,6831;1;2;1;1;2;1;0;171,0587;0;251,1664;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:42PM;2,614419;262,758;2;2;1;245,8985;8,196488;305,7421;2,470894;2;1;1;2;1;2;1;20,76317;2,231816;329,4428;1;2;1;1;2;1;0;171,0587;0;251,5509;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:43PM;2,598725;262,2869;2;2;1;245,8985;8,196488;305,7421;2,470894;2;1;1;2;1;2;1;20,76317;2,232457;329,3226;1;2;1;1;2;1;0;171,0587;0;252,1661;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:44PM;2,583352;262,0514;2;2;1;245,8985;8,196488;305,7421;2,468587;2;1;1;2;1;2;1;20,76317;2,232841;329,2425;1;2;1;1;2;1;0;171,11;0;252,5506;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:45PM;2,563174;261,6589;2;2;1;246,1869;8,196488;305,7421;2,468587;2;1;1;2;1;2;1;20,76317;2,233225;329,2425;1;2;1;1;2;1;0;171,2125;0;252,7044;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:46PM;2,552285;261,5804;2;2;1;246,1869;8,196488;305,7421;2,469612;2;1;1;2;1;2;1;20,76317;2,233225;328,7218;1;2;1;1;2;1;0;171,2125;0;253,089;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:47PM;2,53467;261,8552;2;2;1;246,1869;8,196488;305,6909;2,47115;2;1;1;2;1;2;1;20,76317;2,233225;328,7218;1;2;1;1;2;1;0;171,2125;0;253,7426;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:48PM;2,52346;261,8159;2;2;1;246,1869;8,196488;305,614;2,472944;2;1;1;2;1;2;1;20,76317;2,233225;328,6417;1;2;1;1;2;1;0;171,2125;0;253,8195;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal
22/12/20154:00:49PM;2,503923;261,8944;2;2;1;246,1869;8,196488;305,614;2,472944;2;1;1;2;1;2;1;20,76317;2,233225;328,5616;1;2;1;1;2;1;0;171,2125;0;254,3963;1;1;1;1;1;7,308575;176,8008;263,6504;12,68905;0,001666239;0,001408992;0,001664373;0;1;1;10,02948;0;4,277749;0,000256304;1;1;1;Normal